,Name,Neighborhood,Review Count,Rating,Type,Longitude,Latitude
137,Semiramis,ALBANY PARK,521,4.0,Soup,-87.7161739,41.9719367
138,Semiramis,ALBANY PARK,521,4.0,Sandwiches,-87.7161739,41.9719367
139,Cafe Orient 33,ALBANY PARK,196,4.5,Korean,-87.7161739,41.9719367
140,Cafe Orient 33,ALBANY PARK,196,4.5,Chicken Wings,-87.7161739,41.9719367
141,Cafe Orient 33,ALBANY PARK,196,4.5,Seafood,-87.7161739,41.9719367
142,Ruby's Fast Food,ALBANY PARK,218,4.5,Filipino,-87.7161739,41.9719367
143,Ruby's Fast Food,ALBANY PARK,218,4.5,Buffets,-87.7161739,41.9719367
144,Ruby's Fast Food,ALBANY PARK,218,4.5,Fast Food,-87.7161739,41.9719367
145,Ay Ay Picante,ALBANY PARK,540,4.0,Seafood,-87.7161739,41.9719367
146,Ay Ay Picante,ALBANY PARK,540,4.0,Peruvian,-87.7161739,41.9719367
147,Kuma's Corner - Belmont,ALBANY PARK,4915,4.0,Pubs,-87.7161739,41.9719367
148,Kuma's Corner - Belmont,ALBANY PARK,4915,4.0,Burgers,-87.7161739,41.9719367
149,Bryn Mawr Breakfast Club,ALBANY PARK,667,4.5,Breakfast & Brunch,-87.7161739,41.9719367
150,Afghan Kabob,ALBANY PARK,259,4.5,Middle Eastern,-87.7161739,41.9719367
151,Afghan Kabob,ALBANY PARK,259,4.5,Afghan,-87.7161739,41.9719367
152,Hot Dog Station,ALBANY PARK,160,4.5,Hot Dogs,-87.7161739,41.9719367
153,Hot Dog Station,ALBANY PARK,160,4.5,Burgers,-87.7161739,41.9719367
154,Tre Kronor,ALBANY PARK,684,4.0,Breakfast & Brunch,-87.7161739,41.9719367
155,Tre Kronor,ALBANY PARK,684,4.0,Desserts,-87.7161739,41.9719367
156,Tre Kronor,ALBANY PARK,684,4.0,Scandinavian,-87.7161739,41.9719367
157,Nhu Lan Saigon Subs,ALBANY PARK,778,4.5,Vietnamese,-87.7161739,41.9719367
158,Nhu Lan Saigon Subs,ALBANY PARK,778,4.5,Bakeries,-87.7161739,41.9719367
159,Salam Restaurant,ALBANY PARK,530,4.0,Middle Eastern,-87.7161739,41.9719367
160,Salam Restaurant,ALBANY PARK,530,4.0,Mediterranean,-87.7161739,41.9719367
161,Salam Restaurant,ALBANY PARK,530,4.0,Halal,-87.7161739,41.9719367
162,LD Pho,ALBANY PARK,146,4.5,Vietnamese,-87.7161739,41.9719367
163,Ixcateco Grill,ALBANY PARK,159,4.5,Mexican,-87.7161739,41.9719367
164,Brasa Roja,ALBANY PARK,258,4.0,Latin American,-87.7161739,41.9719367
165,Hala In Restaurant,ALBANY PARK,266,4.0,Middle Eastern,-87.7161739,41.9719367
166,Hala In Restaurant,ALBANY PARK,266,4.0,Arabian,-87.7161739,41.9719367
167,Angelo's Wine Bar,ALBANY PARK,245,4.0,Italian,-87.7161739,41.9719367
168,Angelo's Wine Bar,ALBANY PARK,245,4.0,Cocktail Bars,-87.7161739,41.9719367
169,Angelo's Wine Bar,ALBANY PARK,245,4.0,Wine Bars,-87.7161739,41.9719367
172,Smoque BBQ,ALBANY PARK,3889,4.5,Barbeque,-87.7161739,41.9719367
173,Noon O Kabab,ALBANY PARK,906,4.0,Persian/Iranian,-87.7161739,41.9719367
174,Noon O Kabab,ALBANY PARK,906,4.0,Mediterranean,-87.7161739,41.9719367
175,Kabobi Grill,ALBANY PARK,479,4.5,Mediterranean,-87.7161739,41.9719367
176,Kabobi Grill,ALBANY PARK,479,4.5,Persian/Iranian,-87.7161739,41.9719367
177,Great Sea Chinese Restaurant,ALBANY PARK,656,4.0,Chinese,-87.7161739,41.9719367
178,Great Sea Chinese Restaurant,ALBANY PARK,656,4.0,Chicken Wings,-87.7161739,41.9719367
179,Semiramis,ALBANY PARK,521,4.0,Lebanese,-87.7161739,41.9719367
180,Semiramis,ALBANY PARK,521,4.0,Soup,-87.7161739,41.9719367
181,Semiramis,ALBANY PARK,521,4.0,Sandwiches,-87.7161739,41.9719367
182,Cafe Orient 33,ALBANY PARK,196,4.5,Korean,-87.7161739,41.9719367
183,Cafe Orient 33,ALBANY PARK,196,4.5,Chicken Wings,-87.7161739,41.9719367
184,Cafe Orient 33,ALBANY PARK,196,4.5,Seafood,-87.7161739,41.9719367
185,Ruby's Fast Food,ALBANY PARK,218,4.5,Filipino,-87.7161739,41.9719367
186,Ruby's Fast Food,ALBANY PARK,218,4.5,Buffets,-87.7161739,41.9719367
187,Ruby's Fast Food,ALBANY PARK,218,4.5,Fast Food,-87.7161739,41.9719367
188,Ay Ay Picante,ALBANY PARK,540,4.0,Seafood,-87.7161739,41.9719367
189,Ay Ay Picante,ALBANY PARK,540,4.0,Peruvian,-87.7161739,41.9719367
190,Kuma's Corner - Belmont,ALBANY PARK,4915,4.0,Pubs,-87.7161739,41.9719367
191,Kuma's Corner - Belmont,ALBANY PARK,4915,4.0,Burgers,-87.7161739,41.9719367
192,Bryn Mawr Breakfast Club,ALBANY PARK,667,4.5,Breakfast & Brunch,-87.7161739,41.9719367
193,Afghan Kabob,ALBANY PARK,259,4.5,Middle Eastern,-87.7161739,41.9719367
194,Afghan Kabob,ALBANY PARK,259,4.5,Afghan,-87.7161739,41.9719367
195,Hot Dog Station,ALBANY PARK,160,4.5,Hot Dogs,-87.7161739,41.9719367
196,Hot Dog Station,ALBANY PARK,160,4.5,Burgers,-87.7161739,41.9719367
197,Tre Kronor,ALBANY PARK,684,4.0,Breakfast & Brunch,-87.7161739,41.9719367
198,Tre Kronor,ALBANY PARK,684,4.0,Desserts,-87.7161739,41.9719367
199,Tre Kronor,ALBANY PARK,684,4.0,Scandinavian,-87.7161739,41.9719367
200,Nhu Lan Saigon Subs,ALBANY PARK,778,4.5,Vietnamese,-87.7161739,41.9719367
